K,rho,r_075,r_10,r_125
2,0.13,0,0,0
2,0.14,0,0,0
2,0.15,0,0,0
2,0.16,0,0,0
2,0.17,0,0,0
2,0.18,0,0,0
2,0.19,0,0,0
2,0.2,0,0,0
2,0.21,0,0,0
2,0.22,0,0,0
2,0.23,0,0,0
2,0.24,0,0,0
2,0.25,0,0,0
2,0.26,0,0,0
2,0.27,0,0,0
2,0.28,0,0,0
2,0.29,0,0,0
2,0.3,0,0,0
2,0.31,0,0,0
2,0.32,0,0,0
2,0.33,0,0,0
2,0.34,0,0,0
2,0.35,0,0,0
2,0.36,0,0,0
2,0.37,0,0,0
2,0.38,0,0,0
2,0.39,0,0,0
2,0.4,0,0,0
2,0.41,0,0,0
2,0.42,0,0,0
2,0.43,0,0,0
2,0.44,0,0,0
2,0.45,0,0,0
2,0.46,0,0,0
2,0.47,0,0,0
2,0.48,0,0,0
2,0.49,0,0,0
2,0.5,0,0,0
2,0.51,0,0,0
2,0.52,0,0,0
2,0.53,0,0,0
2,0.54,0,0,0
2,0.55,0,0,0
2,0.56,0,0,0
2,0.57,0,0,0
2,0.58,0,0,0
2,0.59,0,0,0
2,0.6,0,0,0
2,0.61,0,0,0
2,0.62,0,0,0
2,0.63,0,0,0
2,0.64,0,0,0
2,0.65,0,0,0
2,0.66,0,0,0
2,0.67,0,0,0
2,0.68,0,0,0
2,0.69,0,0,0
2,0.7,0,0,0
2,0.71,0,0,0
2,0.72,0,0,0
2,0.73,0,0,0
2,0.74,0,0,0
2,0.75,0,0,0
2,0.76,0,0,0
2,0.77,0,0,0
2,0.78,0,0,0
2,0.79,0,0,0
2,0.8,0,0,0
2,0.81,0,0,0
2,0.82,0,0,0
2,0.83,0,0,0
2,0.84,0,0,0
2,0.85,0,0,0
2,0.86,0,0,0
2,0.87,0,0,0
2,0.88,0,0,0
2,0.89,0,0,0
2,0.9,0,0,0
2,0.91,0,0,0
2,0.92,0,0,0
2,0.93,0,0,0
2,0.94,0,0,0
2,0.95,0,0,0
2,0.96,0,0,0
2,0.97,0,0,0
2,0.98,0,0,0
2,0.99,0,0,0
3,0,0,0,0
3,0.01,0,0,0
3,0.02,0,0,0
3,0.03,0,0,0
3,0.04,0,0,0
3,0.05,0,0,0
3,0.06,0,0,0
3,0.07,0,0,0
3,0.08,0,0,0
3,0.09,0,0,0
3,0.1,0,0,0
3,0.11,0,0,0
3,0.12,0,0,0
3,0.13,0,0,0
3,0.14,0,0,0
3,0.15,0,0,0
3,0.16,0,0,0
3,0.17,0,0,0
3,0.18,0,0,0
3,0.19,0,0,0
3,0.2,0,0,0
3,0.21,0,0,0
3,0.22,0,0,0
3,0.23,0,0,0
3,0.24,0,0,0
3,0.25,0,0,0
3,0.26,0,0,0
3,0.27,0,0,0
3,0.28,0,0,0
3,0.29,0,0,0
3,0.3,0,0,0
3,0.31,0,0,0
3,0.32,0,0,0
3,0.33,0,0,0
3,0.34,0,0,0
3,0.35,0,0,0
3,0.36,0,0,0
3,0.37,0,0,0
3,0.38,0,0,0
3,0.39,0,0,0
3,0.4,0,0,0
3,0.41,0,0,0
3,0.42,0,0,0
3,0.43,0,0,0
3,0.44,0,0,0
3,0.45,0,0,0
3,0.46,0,0,0
3,0.47,0,0,0
3,0.48,0,0,0
3,0.49,0,0,0
3,0.5,0,0,0
3,0.51,0,0,0
3,0.52,0,0,0
3,0.53,0,0,0
3,0.54,0,0,0
3,0.55,0,0,0
3,0.56,0,0,0
3,0.57,0,0,0
3,0.58,0,0,0
3,0.59,0,0,0
3,0.6,0,0,0
3,0.61,0,0,0
3,0.62,0,0,0
3,0.63,0,0,0
3,0.64,0,0,0
3,0.65,0,0,0
3,0.66,0,0,0
3,0.67,0,0,0
3,0.68,0,0,0
3,0.69,0,0,0
3,0.7,0,0,0
3,0.71,0,0,0
3,0.72,0,0,0
3,0.73,0,0,0
3,0.74,0,0,0
3,0.75,0,0,0
3,0.76,0,0,0
3,0.77,0,0,0
3,0.78,0,0,0
3,0.79,0,0,0
3,0.8,0,0,0
3,0.81,0,0,0
3,0.82,0,0,0
3,0.83,0,0,0
3,0.84,0,0,0
3,0.85,0,0,0
3,0.86,0,0,0
3,0.87,0,0,0
3,0.88,0,0,0
3,0.89,0,0,0
3,0.9,0,0,0
3,0.91,0,0,0
3,0.92,0,0,0
3,0.93,0,0,0
3,0.94,0,0,0
3,0.95,0,0,0
3,0.96,0,0,0
3,0.97,0,0,0
3,0.98,0,0,0
3,0.99,0,0,0
4,0,0,0,0
4,0.01,0,0,0
4,0.02,0,0,0
4,0.03,0,0,0
4,0.04,0,0,0
4,0.05,0,0,0
4,0.06,0,0,0
4,0.07,0,0,0
4,0.08,0,0,0
4,0.09,0,0,0
4,0.1,0,0,0
4,0.11,0,0,0
4,0.12,0,0,0
4,0.13,0,0,0
4,0.14,0,0,0
4,0.15,0,0,0
4,0.16,0,0,0
4,0.17,0,0,0
4,0.18,0,0,0
4,0.19,0,0,0
4,0.2,0,0,0
4,0.21,0,0,0
4,0.22,0,0,0
4,0.23,0,0,0
4,0.24,0,0,0
4,0.25,0,0,0
4,0.26,0,0,0
4,0.27,0,0,0
4,0.28,0,0,0
4,0.29,0,0,0
4,0.3,0,0,0
4,0.31,0,0,0
4,0.32,0,0,0
4,0.33,0,0,0
4,0.34,0,0,0
4,0.35,0,0,0
4,0.36,0,0,0
4,0.37,0,0,0
4,0.38,0,0,0
4,0.39,0,0,0
4,0.4,0,0,0
4,0.41,0,0,0
4,0.42,0,0,0
4,0.43,0,0,0
4,0.44,0,0,0
4,0.45,0,0,0
4,0.46,0,0,0
4,0.47,0,0,0
4,0.48,0,0,0
4,0.49,0,0,0
4,0.5,0,0,0
4,0.51,0,0,0
4,0.52,0,0,0
4,0.53,0,0,0
4,0.54,0,0,0
4,0.55,0,0,0
4,0.56,0,0,0
4,0.57,0,0,0
4,0.58,0,0,0
4,0.59,0,0,0
4,0.6,0,0,0
4,0.61,0,0,0
4,0.62,0,0,0
4,0.63,0,0,0
4,0.64,0,0,0
4,0.65,0,0,0
4,0.66,0,0,0
4,0.67,0,0,0
4,0.68,0,0,0
4,0.69,0,0,0
4,0.7,0,0,0
4,0.71,0,0,0
4,0.72,0,0,0
4,0.73,0,0,0
4,0.74,0,0,0
4,0.75,0,0,0
4,0.76,0,0,0
4,0.77,0,0,0
4,0.78,0,0,0
4,0.79,0,0,0
4,0.8,0,0,0
4,0.81,0,0,0
4,0.82,0,0,0
4,0.83,0,0,0
4,0.84,0,0,0
4,0.85,0,0,0
4,0.86,0,0,0
4,0.87,0,0,0
4,0.88,0,0,0
4,0.89,0,0,0
4,0.9,0,0,0
4,0.91,0,0,0
4,0.92,0,0,0
4,0.93,0,0,0
4,0.94,0,0,0
4,0.95,0,0,0
4,0.96,0,0,0
4,0.97,0,0,0
4,0.98,0,0,0
4,0.99,0,0,0
5,0,0,0,0
5,0.01,0,0,0
5,0.02,0,0,0
5,0.03,0,0,0
5,0.04,0,0,0
5,0.05,0,0,0
5,0.06,0,0,0
5,0.07,0,0,0
5,0.08,0,0,0
5,0.09,0,0,0
5,0.1,0,0,0
5,0.11,0,0,0
5,0.12,0,0,0
5,0.13,0,0,0
5,0.14,0,0,0
5,0.15,0,0,0
5,0.16,0,0,0
5,0.17,0,0,0
5,0.18,0,0,0
5,0.19,0,0,0
5,0.2,0,0,0
5,0.21,0,0,0
5,0.22,0,0,0
5,0.23,0,0,0
5,0.24,0,0,0
5,0.25,0,0,0
5,0.26,0,0,0
5,0.27,0,0,0
5,0.28,0,0,0
5,0.29,0,0,0
5,0.3,0,0,0
5,0.31,0,0,0
5,0.32,0,0,0
5,0.33,0,0,0
5,0.34,0,0,0
5,0.35,0,0,0
5,0.36,0,0,0
5,0.37,0,0,0
5,0.38,0,0,0
5,0.39,0,0,0
5,0.4,0,0,0
5,0.41,0,0,0
5,0.42,0,0,0
5,0.43,0,0,0
5,0.44,0,0,0
5,0.45,0,0,0
5,0.46,0,0,0
5,0.47,0,0,0
5,0.48,0,0,0
5,0.49,0,0,0
5,0.5,0,0,0
5,0.51,0,0,0
5,0.52,0,0,0
5,0.53,0,0,0
5,0.54,0,0,0
5,0.55,0,0,0
5,0.56,0,0,0
5,0.57,0,0,0
5,0.58,0,0,0
5,0.59,0,0,0
5,0.6,0,0,0
5,0.61,0,0,0
5,0.62,0,0,0
5,0.63,0,0,0
5,0.64,0,0,0
5,0.65,0,0,0
5,0.66,0,0,0
5,0.67,0,0,0
5,0.68,0,0,0
5,0.69,0,0,0
5,0.7,0,0,0
5,0.71,0,0,0
5,0.72,0,0,0
5,0.73,0,0,0
5,0.74,0,0,0
5,0.75,0,0,0
5,0.76,0,0,0
5,0.77,0,0,0
5,0.78,0,0,0
5,0.79,0,0,0
5,0.8,0,0,0
5,0.81,0,0,0
5,0.82,0,0,0
5,0.83,0,0,0
5,0.84,0,0,0
5,0.85,0,0,0
5,0.86,0,0,0
5,0.87,0,0,0
5,0.88,0,0,0
5,0.89,0,0,0
5,0.9,0,0,0
5,0.91,0,0,0
5,0.92,0,0,0
5,0.93,0,0,0
5,0.94,0,0,0
5,0.95,0,0,0
5,0.96,0,0,0
5,0.97,0,0,0
5,0.98,0,0,0
5,0.99,0,0,0
6,0,0,0,0
6,0.01,0,0,0
6,0.02,0,0,0
6,0.03,0,0,0
6,0.04,0,0,0
6,0.05,0,0,0
6,0.06,0,0,0
6,0.07,0,0,0
6,0.08,0,0,0
6,0.09,0,0,0
6,0.1,0,0,0
6,0.11,0,0,0
6,0.12,0,0,0
6,0.13,0,0,0
6,0.14,0,0,0
6,0.15,0,0,0
6,0.16,0,0,0
6,0.17,0,0,0
6,0.18,0,0,0
6,0.19,0,0,0
6,0.2,0,0,0
6,0.21,0,0,0
6,0.22,0,0,0
6,0.23,0,0,0
6,0.24,0,0,0
6,0.25,0,0,0
6,0.26,0,0,0
6,0.27,0,0,0
6,0.28,0,0,0
6,0.29,0,0,0
6,0.3,0,0,0
6,0.31,0,0,0
6,0.32,0,0,0
6,0.33,0,0,0
6,0.34,0,0,0
6,0.35,0,0,0
6,0.36,0,0,0
6,0.37,0,0,0
6,0.38,0,0,0
6,0.39,0,0,0
6,0.4,0,0,0
6,0.41,0,0,0
6,0.42,0,0,0
6,0.43,0,0,0
6,0.44,0,0,0
6,0.45,0,0,0
6,0.46,0,0,0
6,0.47,0,0,0
6,0.48,0,0,0
6,0.49,0,0,0
6,0.5,0,0,0
6,0.51,0,0,0
6,0.52,0,0,0
6,0.53,0,0,0
6,0.54,0,0,0
6,0.55,0,0,0
6,0.56,0,0,0
6,0.57,0,0,0
6,0.58,0,0,0
6,0.59,0,0,0
6,0.6,0,0,0
6,0.61,0,0,0
6,0.62,0,0,0
6,0.63,0,0,0
6,0.64,0,0,0
6,0.65,0,0,0
6,0.66,0,0,0
6,0.67,0,0,0
6,0.68,0,0,0
6,0.69,0,0,0
6,0.7,0,0,0
6,0.71,0,0,0
6,0.72,0,0,0
6,0.73,0,0,0
6,0.74,0,0,0
6,0.75,0,0,0
6,0.76,0,0,0
6,0.77,0,0,0
6,0.78,0,0,0
6,0.79,0,0,0
6,0.8,0,0,0
6,0.81,0,0,0
6,0.82,0,0,0
6,0.83,0,0,0
6,0.84,0,0,0
6,0.85,0,0,0
6,0.86,0,0,0
6,0.87,0,0,0
6,0.88,0,0,0
6,0.89,0,0,0
6,0.9,0,0,0
6,0.91,0,0,0
6,0.92,0,0,0
6,0.93,0,0,0
6,0.94,0,0,0
6,0.95,0,0,0
6,0.96,0,0,0
6,0.97,0,0,0
6,0.98,0,0,0
6,0.99,0,0,0
7,0,0,0,0
7,0.01,0,0,0
7,0.02,0,0,0
7,0.03,0,0,0
7,0.04,0,0,0
7,0.05,0,0,0
7,0.06,0,0,0
7,0.07,0,0,0
7,0.08,0,0,0
7,0.09,0,0,0
7,0.1,0,0,0
7,0.11,0,0,0
7,0.12,0,0,0
7,0.13,0,0,0
7,0.14,0,0,0
7,0.15,0,0,0
7,0.16,0,0,0
7,0.17,0,0,0
7,0.18,0,0,0
7,0.19,0,0,0
7,0.2,0,0,0
7,0.21,0,0,0
7,0.22,0,0,0
7,0.23,0,0,0
7,0.24,0,0,0
7,0.25,0,0,0
7,0.26,0,0,0
7,0.27,0,0,0
7,0.28,0,0,0
7,0.29,0,0,0
7,0.3,0,0,0
7,0.31,0,0,0
7,0.32,0,0,0
7,0.33,0,0,0
7,0.34,0,0,0
7,0.35,0,0,0
7,0.36,0,0,0
7,0.37,0,0,0
7,0.38,0,0,0
7,0.39,0,0,0
7,0.4,0,0,0
7,0.41,0,0,0
7,0.42,0,0,0
7,0.43,0,0,0
7,0.44,0,0,0
7,0.45,0,0,0
7,0.46,0,0,0
7,0.47,0,0,0
7,0.48,0,0,0
7,0.49,0,0,0
7,0.5,0,0,0
7,0.51,0,0,0
7,0.52,0,0,0
7,0.53,0,0,0
7,0.54,0,0,0
7,0.55,0,0,0
7,0.56,0,0,0
7,0.57,0,0,0
7,0.58,0,0,0
7,0.59,0,0,0
7,0.6,0,0,0
7,0.61,0,0,0
7,0.62,0,0,0
7,0.63,0,0,0
7,0.64,0,0,0
7,0.65,0,0,0
7,0.66,0,0,0
7,0.67,0,0,0
7,0.68,0,0,0
7,0.69,0,0,0
7,0.7,0,0,0
7,0.71,0,0,0
7,0.72,0,0,0
7,0.73,0,0,0
7,0.74,0,0,0
7,0.75,0,0,0
7,0.76,0,0,0
7,0.77,0,0,0
7,0.78,0,0,0
7,0.79,0,0,0
7,0.8,0,0,0
7,0.81,0,0,0
7,0.82,0,0,0
7,0.83,0,0,0
7,0.84,0,0,0
7,0.85,0,0,0
7,0.86,0,0,0
7,0.87,0,0,0
7,0.88,0,0,0
7,0.89,0,0,0
7,0.9,0,0,0
7,0.91,0,0,0
7,0.92,0,0,0
7,0.93,0,0,0
7,0.94,0,0,0
7,0.95,0,0,0
7,0.96,0,0,0
7,0.97,0,0,0
7,0.98,0,0,0
7,0.99,0,0,0
8,0,0,0,0
8,0.01,0,0,0
8,0.02,0,0,0
8,0.03,0,0,0
8,0.04,0,0,0
8,0.05,0,0,0
8,0.06,0,0,0
8,0.07,0,0,0
8,0.08,0,0,0
8,0.09,0,0,0
8,0.1,0,0,0
8,0.11,0,0,0
8,0.12,0,0,0
8,0.13,0,0,0
8,0.14,0,0,0
8,0.15,0,0,0
8,0.16,0,0,0
8,0.17,0,0,0
8,0.18,0,0,0
8,0.19,0,0,0
8,0.2,0,0,0
8,0.21,0,0,0
8,0.22,0,0,0
8,0.23,0,0,0
8,0.24,0,0,0
8,0.25,0,0,0
8,0.26,0,0,0
8,0.27,0,0,0
8,0.28,0,0,0
8,0.29,0,0,0
8,0.3,0,0,0
8,0.31,0,0,0
8,0.32,0,0,0
8,0.33,0,0,0
8,0.34,0,0,0
8,0.35,0,0,0
8,0.36,0,0,0
8,0.37,0,0,0
8,0.38,0,0,0
8,0.39,0,0,0
8,0.4,0,0,0
8,0.41,0,0,0
8,0.42,0,0,0
8,0.43,0,0,0
8,0.44,0,0,0
8,0.45,0,0,0
8,0.46,0,0,0
8,0.47,0,0,0
8,0.48,0,0,0
8,0.49,0,0,0
8,0.5,0,0,0
8,0.51,0,0,0
8,0.52,0,0,0
8,0.53,0,0,0
8,0.54,0,0,0
8,0.55,0,0,0
8,0.56,0,0,0
8,0.57,0,0,0
8,0.58,0,0,0
8,0.59,0,0,0
8,0.6,0,0,0
8,0.61,0,0,0
8,0.62,0,0,0
8,0.63,0,0,0
8,0.64,0,0,0
8,0.65,0,0,0
8,0.66,0,0,0
8,0.67,0,0,0
8,0.68,0,0,0
8,0.69,0,0,0
8,0.7,0,0,0
8,0.71,0,0,0
8,0.72,0,0,0
8,0.73,0,0,0
8,0.74,0,0,0
8,0.75,0,0,0
8,0.76,0,0,0
8,0.77,0,0,0
8,0.78,0,0,0
8,0.79,0,0,0
8,0.8,0,0,0
8,0.81,0,0,0
8,0.82,0,0,0
8,0.83,0,0,0
8,0.84,0,0,0
8,0.85,0,0,0
8,0.86,0,0,0
8,0.87,0,0,0
8,0.88,0,0,0
8,0.89,0,0,0
8,0.9,0,0,0
8,0.91,0,0,0
8,0.92,0,0,0
8,0.93,0,0,0
8,0.94,0,0,0
8,0.95,0,0,0
8,0.96,0,0,0
8,0.97,0,0,0
8,0.98,0,0,0
8,0.99,0,0,0
9,0,0,0,0
9,0.01,0,0,0
9,0.02,0,0,0
9,0.03,0,0,0
9,0.04,0,0,0
9,0.05,0,0,0
9,0.06,0,0,0
9,0.07,0,0,0
9,0.08,0,0,0
9,0.09,0,0,0
9,0.1,0,0,0
9,0.11,0,0,0
9,0.12,0,0,0
9,0.13,0,0,0
9,0.14,0,0,0
9,0.15,0,0,0
9,0.16,0,0,0
9,0.17,0,0,0
9,0.18,0,0,0
9,0.19,0,0,0
9,0.2,0,0,0
9,0.21,0,0,0
9,0.22,0,0,0
9,0.23,0,0,0
9,0.24,0,0,0
9,0.25,0,0,0
9,0.26,0,0,0
9,0.27,0,0,0
9,0.28,0,0,0
9,0.29,0,0,0
9,0.3,0,0,0
9,0.31,0,0,0
9,0.32,0,0,0
9,0.33,0,0,0
9,0.34,0,0,0
9,0.35,0,0,0
9,0.36,0,0,0
9,0.37,0,0,0
9,0.38,0,0,0
9,0.39,0,0,0
9,0.4,0,0,0
9,0.41,0,0,0
9,0.42,0,0,0
9,0.43,0,0,0
9,0.44,0,0,0
9,0.45,0,0,0
9,0.46,0,0,0
9,0.47,0,0,0
9,0.48,0,0,0
9,0.49,0,0,0
9,0.5,0,0,0
9,0.51,0,0,0
9,0.52,0,0,0
9,0.53,0,0,0
9,0.54,0,0,0
9,0.55,0,0,0
9,0.56,0,0,0
9,0.57,0,0,0
9,0.58,0,0,0
9,0.59,0,0,0
9,0.6,0,0,0
9,0.61,0,0,0
9,0.62,0,0,0
9,0.63,0,0,0
9,0.64,0,0,0
9,0.65,0,0,0
9,0.66,0,0,0
9,0.67,0,0,0
9,0.68,0,0,0
9,0.69,0,0,0
9,0.7,0,0,0
9,0.71,0,0,0
9,0.72,0,0,0
9,0.73,0,0,0
9,0.74,0,0,0
9,0.75,0,0,0
9,0.76,0,0,0
9,0.77,0,0,0
9,0.78,0,0,0
9,0.79,0,0,0
9,0.8,0,0,0
9,0.81,0,0,0
9,0.82,0,0,0
9,0.83,0,0,0
9,0.84,0,0,0
9,0.85,0,0,0
9,0.86,0,0,0
9,0.87,0,0,0
9,0.88,0,0,0
9,0.89,0,0,0
9,0.9,0,0,0
9,0.91,0,0,0
9,0.92,0,0,0
9,0.93,0,0,0
9,0.94,0,0,0
9,0.95,0,0,0
9,0.96,0,0,0
9,0.97,0,0,0
9,0.98,0.1,0,0
9,0.99,0.2,0,0
10,0,0,0,0
10,0.01,0,0,0
10,0.02,0,0,0
10,0.03,0,0,0
10,0.04,0,0,0
10,0.05,0,0,0
10,0.06,0,0,0
10,0.07,0,0,0
10,0.08,0,0,0
10,0.09,0,0,0
10,0.1,0,0,0
10,0.11,0,0,0
10,0.12,0,0,0
10,0.13,0,0,0
10,0.14,0,0,0
10,0.15,0,0,0
10,0.16,0,0,0
10,0.17,0,0,0
10,0.18,0,0,0
10,0.19,0,0,0
10,0.2,0,0,0
10,0.21,0,0,0
10,0.22,0,0,0
10,0.23,0,0,0
10,0.24,0,0,0
10,0.25,0,0,0
10,0.26,0,0,0
10,0.27,0,0,0
10,0.28,0,0,0
10,0.29,0,0,0
10,0.3,0,0,0
10,0.31,0,0,0
10,0.32,0,0,0
10,0.33,0,0,0
10,0.34,0,0,0
10,0.35,0,0,0
10,0.36,0,0,0
10,0.37,0,0,0
10,0.38,0,0,0
10,0.39,0,0,0
10,0.4,0,0,0
10,0.41,0,0,0
10,0.42,0,0,0
10,0.43,0,0,0
10,0.44,0,0,0
10,0.45,0,0,0
10,0.46,0,0,0
10,0.47,0,0,0
10,0.48,0,0,0
10,0.49,0,0,0
10,0.5,0,0,0
10,0.51,0,0,0
10,0.52,0,0,0
10,0.53,0,0,0
10,0.54,0,0,0
10,0.55,0,0,0
10,0.56,0,0,0
10,0.57,0,0,0
10,0.58,0,0,0
10,0.59,0,0,0
10,0.6,0,0,0
10,0.61,0,0,0
10,0.62,0,0,0
10,0.63,0,0,0
10,0.64,0,0,0
10,0.65,0,0,0
10,0.66,0,0,0
10,0.67,0,0,0
10,0.68,0,0,0
10,0.69,0,0,0
10,0.7,0,0,0
10,0.71,0,0,0
10,0.72,0,0,0
10,0.73,0,0,0
10,0.74,0,0,0
10,0.75,0,0,0
10,0.76,0,0,0
10,0.77,0,0,0
10,0.78,0,0,0
10,0.79,0,0,0
10,0.8,0,0,0
10,0.81,0,0,0
10,0.82,0,0,0
10,0.83,0,0,0
10,0.84,0,0,0
10,0.85,0.4,0,0
10,0.86,0.6,0,0
10,0.87,0.8,0,0
10,0.88,0.9,0,0
10,0.89,1,0,0
10,0.9,1.1,0,0
10,0.91,1.2,0,0
10,0.92,1.3,0,0
10,0.93,1.4,0,0
10,0.94,1.4,0,0
10,0.95,1.5,0.2,0
10,0.96,1.6,0.3,0
10,0.97,1.6,0.3,0
10,0.98,1.7,0.3,0
10,0.99,1.7,0.4,0
11,0,0,0,0
11,0.01,0,0,0
11,0.02,0,0,0
11,0.03,0,0,0
11,0.04,0,0,0
11,0.05,0,0,0
11,0.06,0,0,0
11,0.07,0,0,0
11,0.08,0,0,0
11,0.09,0,0,0
11,0.1,0,0,0
11,0.11,0,0,0
11,0.12,0,0,0
11,0.13,0,0,0
11,0.14,0,0,0
11,0.15,0,0,0
11,0.16,0,0,0
11,0.17,0,0,0
11,0.18,0,0,0
11,0.19,0,0,0
11,0.2,0,0,0
11,0.21,0,0,0
11,0.22,0,0,0
11,0.23,0,0,0
11,0.24,0,0,0
11,0.25,0,0,0
11,0.26,0,0,0
11,0.27,0,0,0
11,0.28,0,0,0
11,0.29,0,0,0
11,0.3,0,0,0
11,0.31,0,0,0
11,0.32,0,0,0
11,0.33,0,0,0
11,0.34,0,0,0
11,0.35,0,0,0
11,0.36,0,0,0
11,0.37,0,0,0
11,0.38,0,0,0
11,0.39,0,0,0
11,0.4,0,0,0
11,0.41,0,0,0
11,0.42,0,0,0
11,0.43,0,0,0
11,0.44,0,0,0
11,0.45,0,0,0
11,0.46,0,0,0
11,0.47,0,0,0
11,0.48,0,0,0
11,0.49,0,0,0
11,0.5,0,0,0
11,0.51,0,0,0
11,0.52,0,0,0
11,0.53,0,0,0
11,0.54,0,0,0
11,0.55,0,0,0
11,0.56,0,0,0
11,0.57,0,0,0
11,0.58,0,0,0
11,0.59,0,0,0
11,0.6,0,0,0
11,0.61,0,0,0
11,0.62,0,0,0
11,0.63,0,0,0
11,0.64,0,0,0
11,0.65,0,0,0
11,0.66,0,0,0
11,0.67,0,0,0
11,0.68,0,0,0
11,0.69,0,0,0
11,0.7,0,0,0
11,0.71,0,0,0
11,0.72,0,0,0
11,0.73,0,0,0
11,0.74,0,0,0
11,0.75,0,0,0
11,0.76,0.8,0,0
11,0.77,1.1,0,0
11,0.78,1.2,0,0
11,0.79,1.4,0,0
11,0.8,1.6,0,0
11,0.81,1.7,0,0
11,0.82,1.8,0,0
11,0.83,1.9,0,0
11,0.84,2,0.5,0
11,0.85,2.1,0.6,0
11,0.86,2.2,0.7,0
11,0.87,2.3,0.7,0
11,0.88,2.4,0.8,0
11,0.89,2.5,0.8,0
11,0.9,2.6,0.9,0
11,0.91,2.7,1,0.3
11,0.92,2.8,1,0.3
11,0.93,2.9,1.1,0.4
11,0.94,3,1.1,0.4
11,0.95,3.1,1.1,0.4
11,0.96,3.2,1.2,0.5
11,0.97,3.2,1.2,0.5
11,0.98,3.3,1.2,0.5
11,0.99,3.4,1.2,0.5
12,0,0,0,0
12,0.01,0,0,0
12,0.02,0,0,0
12,0.03,0,0,0
12,0.04,0,0,0
12,0.05,0,0,0
12,0.06,0,0,0
12,0.07,0,0,0
12,0.08,0,0,0
12,0.09,0,0,0
12,0.1,0,0,0
12,0.11,0,0,0
12,0.12,0,0,0
12,0.13,0,0,0
12,0.14,0,0,0
12,0.15,0,0,0
12,0.16,0,0,0
12,0.17,0,0,0
12,0.18,0,0,0
12,0.19,0,0,0
12,0.2,0,0,0
12,0.21,0,0,0
12,0.22,0,0,0
12,0.23,0,0,0
12,0.24,0,0,0
12,0.25,0,0,0
12,0.26,0,0,0
12,0.27,0,0,0
12,0.28,0,0,0
12,0.29,0,0,0
12,0.3,0,0,0
12,0.31,0,0,0
12,0.32,0,0,0
12,0.33,0,0,0
12,0.34,0,0,0
12,0.35,0,0,0
12,0.36,0,0,0
12,0.37,0,0,0
12,0.38,0,0,0
12,0.39,0,0,0
12,0.4,0,0,0
12,0.41,0,0,0
12,0.42,0,0,0
12,0.43,0,0,0
12,0.44,0,0,0
12,0.45,0,0,0
12,0.46,0,0,0
